mmsiNumber,Vessel_Name,Vessel_Type,Vessel_Category
304677000,ALESSANDRA LEHMANN,Cargo,CARGO
244850855,FWN BONAFIDE,Cargo,CARGO
219013964,HELLE SAJ,Dredger,OTHER
212958000,OSA,CARGO,CARGO
503452300,BLUE HEELER,Pleasure Craft ,PLEASURE
257115000,SULA,Cargo,CARGO
220147000,N/A ,,TANKER
219164000,MV ENNY,Cargo,CARGO
219021890,NJORD,Pleasure Craft ,PLEASURE
219997000,POUL LOEWENOERN,Support Vessel,OTHER
218492000,NEULAND,cargo,CARGO
245547000,EEMS DOVER,cargo,CARGO
373059000,SANTA CARRIER,,CARGO
232156000,N/A ,,UNKNOWN
219001749,LILLEBAELT,Pleasure Craft ,PLEASURE
219018743,SVNRIB610013,SAR,OTHER
305980000,PHANTOM,Cargo,CARGO
209332000,RIX PACIFIC,Cargo,CARGO
256831000,SAN BACCO,Tanker,TANKER
236656000,N/A ,,UNKNOWN
255805691,N/A ,,CARGO
236165000,HEINRICH  ,,TANKER
219022163,MC SERVICE,Tug,TUG
219014875,SVITZER TRYM,tug,TUG
219023229,MONACO,Pleasure Craft ,PLEASURE
566598000,HAFNIA TORRES,Chemical/Oil Tanker,TANKER
249928000,KRISLIN,Cargo,CARGO
538002883,TEQUILA,Chemical/Oil Tanker,TANKER
246670000,LONGVANN,Cargo,CARGO
212369000,N/A ,,UNKNOWN
219022444,XPAND,Pleasure Craft ,PLEASURE
232005521,N/A ,,OTHER
275478000,N/A ,,UNKNOWN
256508000,N/A ,,UNKNOWN
257056010,FALKFJORD,Cargo,CARGO
255805899,ANINA,Container,CARGO
219012035,SIF,SAR,OTHER
219020792,ANTICA,Pleasure Craft ,PLEASURE
205204000,MINERAL DEUTSCHLAND,Bulk Carrier,CARGO
219000191,MHV 810 LUNA,Military Ops,MILITARY
275411000,LV WARSHIP M-08,Military Ops,MILITARY
244025000,HNLMS MAKKUM,Military Ops,MILITARY
211211240,GERMAN WARSHIP M1069,Military Ops,MILITARY
