event,total_clicks,buzz_calls,buzz_rate,Exposure_3k,Exposure_500m,first_time,last_time
1589,1477,476,0.322274882,0,0,2021-04-12 01:26:00,2021-04-12 02:57:00
1590,468,28,0.05982906,0,0,2021-04-12 03:53:00,2021-04-12 04:23:00
1591,1618,44,0.027194067,0,0,2021-04-12 15:28:00,2021-04-12 17:47:00
1592,30123,5349,0.177571955,1,1,2021-04-12 18:36:00,2021-04-13 05:26:00
1593,195,35,0.179487179,0,0,2021-04-13 15:44:00,2021-04-13 15:48:00
1594,937,46,0.04909285,1,1,2021-04-13 18:15:00,2021-04-13 20:36:00
1595,190,13,0.068421053,0,0,2021-04-13 21:25:00,2021-04-13 22:01:00
1596,664,18,0.027108434,0,0,2021-04-13 22:34:00,2021-04-13 23:30:00
1597,535,20,0.037383178,1,1,2021-04-14 00:20:00,2021-04-14 01:02:00
1598,1931,116,0.060072501,1,1,2021-04-14 01:41:00,2021-04-14 04:11:00
1599,277,25,0.090252708,1,1,2021-04-14 17:36:00,2021-04-14 18:42:00
1600,8342,1172,0.140493886,1,1,2021-04-14 18:56:00,2021-04-14 23:25:00
1601,664,18,0.027108434,0,0,2021-04-14 23:37:00,2021-04-15 00:34:00
1602,2258,191,0.084588131,1,1,2021-04-15 00:46:00,2021-04-15 03:57:00
1603,368,7,0.019021739,0,0,2021-04-15 04:09:00,2021-04-15 05:34:00
1604,145,14,0.096551724,0,0,2021-04-15 07:17:00,2021-04-15 07:44:00
1605,118,8,0.06779661,0,0,2021-04-15 13:29:00,2021-04-15 13:48:00
1606,2948,133,0.045115332,1,1,2021-04-15 16:21:00,2021-04-15 20:43:00
1607,2318,233,0.100517688,1,1,2021-04-15 20:55:00,2021-04-15 22:43:00
1608,2312,1087,0.470155709,1,1,2021-04-15 22:53:00,2021-04-15 23:27:00
1609,857,39,0.045507585,0,0,2021-04-16 02:01:00,2021-04-16 03:20:00
1610,367,14,0.038147139,0,0,2021-04-16 03:33:00,2021-04-16 03:38:00
1611,232,20,0.086206897,0,0,2021-04-16 04:09:00,2021-04-16 04:15:00
1612,370,50,0.135135135,1,1,2021-04-16 10:01:00,2021-04-16 10:30:00
1613,530,158,0.298113208,1,1,2021-04-16 18:24:00,2021-04-16 18:51:00
1614,505,83,0.164356436,0,0,2021-04-16 19:14:00,2021-04-16 20:16:00
1615,605,40,0.066115702,0,0,2021-04-16 20:27:00,2021-04-16 21:15:00
1616,641,26,0.040561622,0,0,2021-04-16 22:04:00,2021-04-16 22:38:00
1617,649,25,0.038520801,0,0,2021-04-16 22:49:00,2021-04-16 23:19:00
1618,726,38,0.052341598,0,0,2021-04-17 00:08:00,2021-04-17 00:41:00
1619,432,21,0.048611111,0,0,2021-04-17 01:11:00,2021-04-17 01:46:00
1620,468,26,0.055555556,0,0,2021-04-17 15:40:00,2021-04-17 16:57:00
1621,5152,802,0.155667702,1,1,2021-04-17 18:14:00,2021-04-17 21:22:00
1622,485,29,0.059793814,0,0,2021-04-17 21:39:00,2021-04-17 22:32:00
1623,247,55,0.222672065,0,0,2021-04-18 00:25:00,2021-04-18 00:28:00
1624,1004,172,0.171314741,0,0,2021-04-18 01:45:00,2021-04-18 02:28:00
1625,325,18,0.055384615,0,0,2021-04-18 04:01:00,2021-04-18 04:34:00
1626,157,15,0.095541401,1,0,2021-04-18 07:22:00,2021-04-18 07:42:00
1627,238,38,0.159663866,1,0,2021-04-18 09:14:00,2021-04-18 09:24:00
1628,220,79,0.359090909,1,1,2021-04-18 09:38:00,2021-04-18 10:15:00
1629,512,13,0.025390625,1,1,2021-04-18 17:03:00,2021-04-18 18:18:00
1630,756,28,0.037037037,1,1,2021-04-18 18:54:00,2021-04-18 19:59:00
1631,351,9,0.025641026,0,0,2021-04-18 20:12:00,2021-04-18 20:55:00
1632,726,24,0.033057851,0,0,2021-04-18 21:06:00,2021-04-18 22:49:00
1633,186,19,0.102150538,0,0,2021-04-18 23:00:00,2021-04-18 23:13:00
1634,431,10,0.023201856,0,0,2021-04-19 01:05:00,2021-04-19 01:53:00
1635,372,21,0.056451613,1,1,2021-04-19 03:04:00,2021-04-19 03:53:00
1636,424,7,0.016509434,0,0,2021-04-19 14:59:00,2021-04-19 16:06:00
1637,928,30,0.032327586,0,0,2021-04-19 17:15:00,2021-04-19 17:41:00
1638,3133,336,0.107245452,0,0,2021-04-19 18:03:00,2021-04-19 19:56:00
1639,6191,284,0.045873042,1,1,2021-04-19 20:22:00,2021-04-19 22:55:00
1640,429,55,0.128205128,0,0,2021-04-19 23:06:00,2021-04-19 23:23:00
1641,149,18,0.120805369,0,0,2021-04-19 23:34:00,2021-04-19 23:37:00
1642,2061,676,0.327996118,0,0,2021-04-20 00:06:00,2021-04-20 01:16:00
1643,224,14,0.0625,0,0,2021-04-20 03:45:00,2021-04-20 04:05:00
1644,766,14,0.018276762,1,0,2021-04-20 07:35:00,2021-04-20 08:55:00
1645,506,51,0.100790514,1,1,2021-04-20 09:44:00,2021-04-20 10:50:00
1646,100,14,0.14,1,0,2021-04-20 11:29:00,2021-04-20 11:38:00
1647,123,15,0.12195122,1,1,2021-04-20 11:56:00,2021-04-20 12:05:00
1648,1168,40,0.034246575,0,0,2021-04-20 16:42:00,2021-04-20 17:12:00
1649,11762,802,0.068185683,1,1,2021-04-20 17:55:00,2021-04-20 21:56:00
1650,5506,439,0.079731202,1,1,2021-04-20 22:08:00,2021-04-21 02:05:00
1651,2241,140,0.062472111,0,0,2021-04-21 02:21:00,2021-04-21 04:41:00
1652,120,20,0.166666667,0,0,2021-04-21 16:16:00,2021-04-21 16:37:00
1653,196,112,0.571428571,0,0,2021-04-21 21:18:00,2021-04-21 21:23:00
1654,197,62,0.314720812,1,0,2021-04-22 08:50:00,2021-04-22 08:52:00
1655,175,9,0.051428571,1,0,2021-04-22 20:30:00,2021-04-22 21:04:00
1656,122,19,0.155737705,0,0,2021-04-22 22:09:00,2021-04-22 22:30:00
1657,817,53,0.064871481,1,1,2021-04-23 00:11:00,2021-04-23 00:59:00
1658,928,36,0.038793103,1,1,2021-04-23 19:11:00,2021-04-23 21:28:00
1659,57,7,0.122807018,0,0,2021-04-24 00:16:00,2021-04-24 00:24:00
1660,1699,1056,0.621542084,0,0,2021-04-24 01:54:00,2021-04-24 02:14:00
1661,625,33,0.0528,0,0,2021-04-24 02:28:00,2021-04-24 03:50:00
1662,217,10,0.046082949,1,1,2021-04-24 12:16:00,2021-04-24 12:33:00
1663,544,17,0.03125,1,1,2021-04-24 18:23:00,2021-04-24 19:41:00
1664,284,8,0.028169014,0,0,2021-04-24 23:49:00,2021-04-25 00:05:00
1665,478,55,0.115062762,1,1,2021-04-25 03:38:00,2021-04-25 03:57:00
1666,276,69,0.25,0,0,2021-04-25 14:09:00,2021-04-25 14:10:00
1667,284,10,0.035211268,0,0,2021-04-25 21:18:00,2021-04-25 21:50:00
1668,273,27,0.098901099,0,0,2021-04-26 00:49:00,2021-04-26 00:56:00
1669,167,7,0.041916168,0,0,2021-04-26 01:48:00,2021-04-26 02:06:00
1670,112,8,0.071428571,0,0,2021-04-26 03:31:00,2021-04-26 03:36:00
1671,675,450,0.666666667,0,0,2021-04-26 03:49:00,2021-04-26 03:53:00
1672,152,14,0.092105263,0,0,2021-04-26 17:33:00,2021-04-26 17:41:00
1673,117,12,0.102564103,0,0,2021-04-26 18:44:00,2021-04-26 18:47:00
1674,429,8,0.018648019,0,0,2021-04-26 21:34:00,2021-04-26 22:21:00
1675,1379,217,0.157360406,1,1,2021-04-27 01:33:00,2021-04-27 03:33:00
1676,388,12,0.030927835,1,0,2021-04-27 20:43:00,2021-04-27 20:49:00
1677,949,131,0.138040042,1,1,2021-04-27 21:10:00,2021-04-27 21:45:00
1678,112,30,0.267857143,0,0,2021-04-27 22:23:00,2021-04-27 22:23:00
